25086665	Pancreatic Cancer	
23349640	Malignancies	
20436471	Paget’s Disease Bone	
24714607	Chronic Mucus Hypersecretion	
22174851	Viral Set Point|Hiv-1	
22993228	Lumbar Disc Degeneration	
24204828	Diabetes-Related Traits	
19812673	Autism	
20011104	Adiponectin Levels	
23128233	Inflammatory Bowel Disease	
17903297	Brain|Cognitive Test	
23358160	Schizophrenia|Cytomegalovirus Infection|Infection Suggests	
24223155	Torsades De Pointes	
22044751	Chronic Kidney Disease	
25105248	Colorectal Cancer	
21801394	Stevens-Johnson Syndrome|Toxic Epidermal Necrolysis	
17903305	Prostate Cancer|Breast	
22116950	Ovarian Reserve	
17658951	Obesity-Related Traits	
24651765	Homocysteine|Methionine|Metabolism	
22144915	Corneal Astigmatism	
24489884	Aggression	
18604267	Antigen|Icam-1	
21424380	Breast Cancer	
23378610	Type 2 Diabetes|Metabolism|Glycine	
23844046	C-Reactive Protein	
17903294	Hematological Phenotypes	
23300701	Colorectal Cancer	
22763110	Osteoarthritis	
20522523	Partial Epilepsies	
21909108	Intima Media Thickness|Plaque	
20041166	Hiv-1	
17903308	Circadian Phenotypes|Sleep	
18262040	LDL-cholesterol	
24023788	Lung Function	
23118916	Serum IgM	
19936222	Cholesterol|Plasma Lipoprotein Size	
25352737	Cataract	
21242260	Colon Cancer	
22028671	Ratio|Total Cholesterol	
22792071	Bone Mineral Density|Bone|Osteoporotic Fracture	
25133637	Body Mass Index	
19820699	Erythrocyte	
25569183	Marginal Zone Lymphoma	
25705158	Metabolic Syndrome	
24101674	Type 2 Diabetes	
23646285	Hypersomnia	
21878437	Vitamin A	
19116933	Juvenile Idiopathic Arthritis	
19056611	Type 2 Diabetes	
20173748	Chronic Obstructive Pulmonary Disease	
25625606	Hippocampal Volume|Dementia	
24778558	Coronary Heart Disease	
23829686	Childhood|Childhood Asthma	
19668339	Hippocampal Atrophy|Quantitative Trait|Alzheimer's Disease	
25628645	Homoharringtonine	
23593202	Age Menarche|Femoral Neck Bone Geometry	
23793025	Migraine	
23666240	Testicular Cancer	
23350875	Colorectal Cancer	
20062060	Pr Interval	
22719876	Non-Alcoholic Fatty Liver Disease|Liver Disease	
23326517	Age-Related Macular Degeneration	
22792082	Asthma|Bronchodilator Response	
25038754	Breast Cancer	
24908248	Telomere Length|Glioma	
23508266	Asthmatics|Bronchodilator Response	
25350695	Ldl Cholesterol Response|Response Statins	
21573128	Osteoporosis	
21533074	Diffuse Large B-cell Lymphoma|Follicular Lymphoma|Diffuse	
23967269	Mite-Specific IgEs|Asthma	
24586186	Metabolic Traits|Metabolite-Disease	
24586183	Thyroid Peroxidase Antibodies|Thyroid Disease	
17903296	Association Bone	
22511988	Cell-Free Dna|Cardiovascular	
21573004	Telomere Length	
21901158	Insulin Resistance|Copy Number Variation	
21909115	Cardiovascular Disease|Blood Pressure	
24816252	Blood Metabolites	
25017104	Allergic Disease|Eosinophilic Esophagitis	
24941225	Serum Carcinoembryonic Antigen Levels|Lymph Nodes|Colorectal Cancer	
25372704	Sickle Cell Anemia|Fetal Hemoglobin|Sickle Cell	
17903300	Waist Circumference|Body Mass Index	
21448238	Migraine	
19305408	Qt Interval Duration	
25526632	Breast Cancer	
24920014	Hodgkin Lymphoma	
22737229	Chronic Hepatitis B	
24379826	Serum Uric Acid Levels	
21386085	Metabolic Syndrome	
19454037	Left Ventricular Mass	
23535730	Ovarian Cancer	
21502949	Brain	
17903303	Atherosclerosis	
17903298	Diabetes-Related Traits	
22076464	Acute Lymphoblastic Leukemia	
21750679	Systemic Sclerosis	
21779181	Systemic Sclerosis	
21602798	Prostate Cancer|Prostate	
20862305	Type 2 Diabetes	
20661308	Serum Calcium	
23979607	Borderline Personality	
25140149	Neurodegeneration|Biomarker	
21390209	Late-Onset Alzheimer's Disease	
23341777	Lung Squamous Cell Carcinoma	
21775986	Recombination	
22430674	Alzheimer's Disease	
19448621	Age Menarche|Menopause	
23698163	Serum Selenium	
25317112	Gastritis|Gastric Ulcer	
21082022	Hypertension|Blood Pressure	
20072603	Osteoporosis	
22941191	Neuroblastoma	
23535967	Glomerular Filtration Rate|Quantitative Trait	
24324551	Chagas Cardiomyopathy|Trypanosoma Cruzi Seropositive	
24244560	Diabetic Retinopathy|Chronic Kidney Disease|Hemoglobin A	
21602797	Cystic Fibrosis|Lung Disease	
23307926	Menopause	
20861866	Age-Related Macular Degeneration	
17447842	Crohn Disease	
22247754	Arrhythmias	
21060863	Cardiovascular Diseases	
21980494	Venous Thrombosis	
20200953	Osteoporosis-Related Phenotypes	
20858683	Hemoglobin A	
21810271	Factor Viii	
25533491	Sepsis|Due Pneumonia	
23886662	Psoriasis|Atopic Dermatitis|Asthma	
19609347	Hypertension|Blood Pressure	
19503597	Uric Acid	
19587794	Sudden Cardiac Death	
25705159	Hepatitis	
25056061	Schizophrenia	
23958962	Cocaine Dependence	
25129146	Esophageal Squamous Cell Carcinoma	
21339755	Galactose|Mutarotase|Serotonin Transporter	
21483845	Iron Deficiency	
21533175	Dehydroepiandrosterone Sulphate	
22589738	Adipose	
22675492	Sex Hormone-Binding Globulin|Testosterone|Estradiol	
21779176	Restless Legs Syndrome	
24068947	Brain	
22479419	Treatment Refractory Schizophrenia	
21700879	Adiponectin Levels	
19557197	Distribution|Adiposity|Waist Circumference	
25705162	Platelet Count	
22961080	Type 2 Diabetes	
23770605	Chronic Lymphocytic Leukemia	
23459443	Qt Interval	
25310821	Hirschsprung Disease	
20634892	Neuroticism	
20081856	Major Mood Disorders	
21983785	Melanoma	
23536807	Primary Open Angle Glaucoma|Macular Degeneration	
24324648	Serum IgE	
24348519	Body Mass Index	
20686651	Chronic Kidney Disease|Kidney Stones|Comorbid Diseases	
24121790	Barrett’s Esophagus|Esophageal Adenocarcinoma	
19421330	Onset|Hypertension	
20169177	Systemic Lupus Erythematosus	
24892410	Onset|Hypertension|Cardiovascular Events	
23509613	Antiphospholipid Antibodies	
19343178	Stature	
20038947	Major Depression	
24740154	Prostate Cancer|Early-Onset	
20421936	Onset|Obesity-Related Traits|Body-Weight	
21399635	Primary Biliary Cirrhosis	
22087292	Femoral Neck Bone Geometry	
24023777	Adolescent Idiopathic Scoliosis	
24743840	Colorectal Cancer	
19430480	Type 1 Diabetes	
21738484	Bipolar Disorder|Disorder Suggests	
22666496	Cardiovascular Event	
21552555	Obesity|Obesity-Related Traits	
24836286	Colorectal Cancer	
21844884	Treatment	
22001756	Dengue Shock Syndrome	
20526338	Platelet Aggregation	
23565137	Late-Onset Alzheimer’s Disease	
22792070	Bone Mineral Density|Bone|Osteoporotic Fracture	
22807686	Chronic Hepatitis B|Hepatitis B Virus|Carriers	
18483556	Hair Color|Skin Pigmentation	
24964207	Suicidal Ideation|Attempts Suicidal|Suicide Attempts	
20927387	Cell Traits|Red Blood Cell	
19714249	Obesity|Osteoporosis Phenotypes	
22493691	Hypothyroidism	
21804549	Asthma	
18455228	Bone Mineral Density|Osteoporosis	
23708191	Congenital Heart Disease|Atrial Septal Defect	
19412175	Neuroblastoma	
20548946	Optic Disc	
19961619	Respiratory|Atopy	
20663923	Autism	
20932310	Τ Protein Levels	
22952603	-Amphetamine Response	
19304780	Blood Pressure	
20395239	Optic Disc Size	
25064009	Parkinson’s Disease	
24133439	Autistic-Like Traits	
20081858	Fasting Glucose|Type 2 Diabetes|Glucose Homeostasis	
23727862	Osteosarcoma	
17903292	Kidney|Endocrine-Related Traits	
25241763	Optic Nerve	
23118974	Pigmentation|Skin	
23049750	Smoking|Cyp2A6	
23419831	Cerebral Amyloid Deposition	
21876539	Cyp1A2	
24068962	Serum Calcium	
21347282	Coronary Heart Disease	
21423719	Metabolic Traits|Nonalcoholic Fatty Liver Disease	
23300278	Type 2 Diabetes	
23028483	Asthma	
24280982	Schizophrenia|Bipolar Disorder|Disorder	
23936387	Celiac Disease	
22359512	Sphingolipids	
23259602	Dental Caries	
23183491	Sensitivity	
20953189	Psoriasis	
25310577	Acute Lymphoblastic Leukemia|Childhood	
20174558	Type 2 Diabetes	
24166486	Schizophrenia	
22479309	Brachial Circumference	
22504420	Bone Mineral Density	
23717212	Malaria	
22570617	Optic Nerve|Glaucoma	
22558069	Immunoglobulin Isotypes|Non-Albumin Protein	
22452962	Breast Cancer	
23381943	Ischemic Stroke	
25364816	Diabetic Retinopathy	
23297363	Tetralogy Fallot	
21729881	Vitamin E Levels	
20694148	Metabolic Syndrome	
20585626	Breast Cancer	
22832961	Alzheimer's Disease	
24047820	Social Communication	
21998595	Height	
21060860	Breast Cancer	
24880342	Lung Cancer|Lung	
22368281	LDL-c Response|Lp(a)	
23006423	Lung Cancer|Overall Survival	
22085899	Bilirubin Levels	
20485516	Central Corneal Thickness|Brittle Cornea Syndrome|Blinding Disease	
22205951	Bipolar Disorder	
23028342	Type 1 Diabetes|Kidney Disease|Diabetic Nephropathy	
23966867	Body Fat Distribution	
22197932	Atopic Dermatitis	
24709693	Methotrexate Response|Juvenile Idiopathic Arthritis	
20622878	Behçet's Disease	
21827660	Increased Disease Risk	
25009551	Peripheral Arterial Disease	
24253340	Schizophrenia|Bipolar Disorder	
19132087	Kawasaki Disease	
24999842	Celiac Disease|Celiac	
21627779	Alzheimer's Disease	
